time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.007860,0.0021,0.0038,0.0010,0.004
0.028047,-0.0003,-0.0011,0.0045,0.005
0.045715,-0.0028,0.0025,-0.0035,0.005
0.065247,-0.0042,0.0000,0.0035,0.005
0.083643,-0.0039,-0.0012,0.0045,0.006
0.102786,-0.0016,-0.0012,0.0021,0.003
0.123246,-0.0005,-0.0010,-0.0002,0.001
0.141144,-0.0076,0.0048,0.0036,0.010
0.160366,-0.0002,-0.0071,0.0057,0.009
0.179572,0.0007,0.0027,-0.0038,0.005
0.199011,-0.0028,0.0005,0.0048,0.006
0.217256,-0.0006,0.0042,0.0047,0.006
0.237638,0.0031,0.0032,-0.0062,0.008
0.255358,-0.0064,-0.0003,0.0059,0.009
0.273814,-0.0039,-0.0004,0.0095,0.010
0.292939,0.0008,-0.0013,0.0034,0.004
0.312372,-0.0005,0.0045,0.0095,0.011
0.331589,-0.0017,-0.0003,0.0010,0.002
0.350960,0.0007,-0.0026,0.0034,0.004
0.369254,0.0079,0.0011,-0.0038,0.009
0.388970,-0.0004,0.0021,0.0046,0.005
0.407500,-0.0003,-0.0002,-0.0002,0.000
0.426431,0.0009,0.0019,0.0034,0.004
0.445869,-0.0016,0.0009,0.0010,0.002
0.464205,-0.0004,-0.0025,-0.0014,0.003
0.483987,-0.0052,-0.0003,-0.0025,0.006
0.502616,-0.0053,0.0069,-0.0059,0.011
0.522122,-0.0028,-0.0041,0.0034,0.006
0.540828,-0.0028,0.0032,-0.0050,0.007
0.559824,0.0006,0.0009,-0.0038,0.004
0.578705,-0.0053,0.0021,-0.0026,0.006
0.598062,0.0010,0.0018,0.0057,0.006
0.616894,-0.0014,-0.0028,-0.0014,0.003
0.635391,-0.0029,-0.0026,-0.0026,0.005
0.654669,-0.0040,-0.0019,0.0023,0.005
0.674607,-0.0003,0.0007,0.0011,0.001
0.692683,-0.0004,0.0019,0.0010,0.002
0.711686,0.0019,-0.0018,0.0044,0.005
0.731784,0.0021,0.0052,0.0093,0.011
0.749596,-0.0025,0.0017,-0.0025,0.004
0.769651,-0.0026,0.0041,0.0010,0.005
0.788147,0.0011,0.0064,0.0060,0.009
0.807777,0.0002,0.0048,0.0025,0.005
0.826431,-0.0059,0.0015,0.0023,0.006
0.845430,0.0003,0.0004,0.0093,0.009
0.863862,0.0036,0.0006,-0.0002,0.004
0.883365,0.0014,0.0016,0.0011,0.002
0.902902,0.0004,0.0005,-0.0002,0.001
0.921299,0.0053,-0.0016,-0.0014,0.006
0.940449,0.0017,0.0021,-0.0014,0.003
0.959536,-0.0029,0.0043,-0.0023,0.006
0.978562,-0.0026,-0.0005,0.0034,0.004
0.998727,0.0022,-0.0029,0.0011,0.004
1.017122,0.0012,-0.0027,-0.0050,0.006
1.035496,0.0072,-0.0053,-0.0004,0.009
1.054859,0.0001,-0.0052,-0.0014,0.005
1.074349,-0.0022,-0.0017,0.0011,0.003
1.093495,-0.0022,0.0020,-0.0050,0.006
1.111662,-0.0046,-0.0020,0.0058,0.008
1.132657,-0.0032,0.0052,0.0013,0.006
1.150766,-0.0034,0.0041,-0.0049,0.007
1.168851,0.0028,0.0066,-0.0025,0.008
1.188367,0.0088,-0.0029,-0.0002,0.009
1.207337,-0.0045,-0.0019,0.0022,0.005
1.226048,0.0001,0.0029,0.0034,0.004
1.245049,-0.0070,0.0051,-0.0010,0.009
1.265339,-0.0007,0.0064,0.0037,0.007
1.283238,-0.0007,-0.0020,0.0023,0.003
1.301593,-0.0007,-0.0008,-0.0050,0.005
1.321610,0.0076,-0.0020,0.0010,0.008
1.339729,0.0053,0.0016,0.0035,0.007
1.359656,0.0006,-0.0087,-0.0004,0.009
1.378040,0.0016,0.0030,0.0011,0.004
1.397047,0.0016,0.0041,0.0070,0.008
1.416347,0.0038,-0.0017,-0.0014,0.004
1.435294,0.0001,0.0039,0.0047,0.006
1.454919,-0.0046,0.0041,0.0038,0.007
1.472971,-0.0021,0.0006,0.0023,0.003
1.492281,0.0028,-0.0065,-0.0038,0.008
1.511738,0.0030,-0.0029,-0.0004,0.004
1.531584,0.0015,0.0016,0.0011,0.002
1.550652,-0.0055,0.0027,-0.0037,0.007
1.568471,-0.0019,0.0015,-0.0026,0.004
1.587882,0.0029,-0.0005,-0.0038,0.005
1.607450,-0.0021,-0.0007,0.0034,0.004
1.625937,-0.0032,0.0016,-0.0025,0.004
1.644278,-0.0032,-0.0007,0.0011,0.003
1.663244,-0.0005,-0.0020,-0.0014,0.002
1.683017,0.0016,-0.0007,0.0034,0.004
1.701935,-0.0032,-0.0054,-0.0026,0.007
1.721761,0.0040,-0.0065,0.0010,0.008
1.739186,0.0003,0.0043,0.0011,0.004
1.759122,-0.0054,-0.0027,0.0034,0.007
1.780250,-0.0043,-0.0026,-0.0013,0.005
1.797931,0.0053,0.0024,-0.0037,0.007
1.816568,-0.0020,0.0036,-0.0001,0.004
1.835174,0.0041,-0.0024,0.0022,0.005
1.854463,0.0003,0.0033,0.0025,0.004
1.873405,-0.0021,-0.0060,-0.0014,0.007
