"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2022","62","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AQS","35","8","62"
"01/02/2022","43","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AQS","41","10","43"
"01/03/2022","42","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","42","9","13"
"01/04/2022","33","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","33","10","17"
"01/05/2022","39","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AQS","34","7","39"
"01/06/2022","29","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","29","4","22"
"01/07/2022","36","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","36","4","7"
"01/08/2022","35","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","35","3","15"
"01/09/2022","27","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","27","6","26"
"01/10/2022","49","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AQS","23","11","49"
"01/11/2022","41","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AQS","28","21","41"
"01/12/2022","23","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","23","21","14"
"01/13/2022","59","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AQS","20","19","59"
"01/14/2022","54","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AQS","21","11","54"
"01/15/2022","35","PM2.5","DAYTON - W MAIN","53-013-0002","AQS","11","5","35"
"01/16/2022","26","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AQS","8","5","26"
"01/17/2022","34","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AQS","29","12","34"
"01/18/2022","30","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AQS","30","8","30"
"01/19/2022","31","PM2.5","DAYTON - W MAIN","53-013-0002","AQS","24","8","31"
"01/20/2022","30","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","30","9","18"
"01/21/2022","27","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","27","6","21"
"01/22/2022","37","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AQS","23","7","37"
"01/23/2022","28","PM2.5","DAYTON - W MAIN","53-013-0002","AQS","19","6","28"
"01/24/2022","31","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AQS","16","8","31"
"01/25/2022","30","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AQS","18","9","30"
"01/26/2022","31","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AQS","18","6","31"
"01/27/2022","24","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AQS","19","6","24"
"01/28/2022","34","PM2.5","DAYTON - W MAIN","53-013-0002","AQS","22","9","34"
"01/29/2022","48","PM2.5","DAYTON - W MAIN","53-013-0002","AQS","21","19","48"
"01/30/2022","51","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AQS","35","17","51"
