Day,Max_Temp,Min_Temp,Avg_Temp,Precipitation
2022-04-01,59,36,47.5,T
2022-04-02,57,40,48.5,0.28
2022-04-03,59,35,47,0
2022-04-04,55,37,46,0.11
2022-04-05,54,35,44.5,0
2022-04-06,59,29,44,0
2022-04-07,67,37,52,0
2022-04-08,57,40,48.5,T
2022-04-09,52,34,43,0.01
2022-04-10,45,32,38.5,0.14
2022-04-11,47,33,40,0.11
2022-04-12,42,30,36,0.09
2022-04-13,46,30,38,0.09
2022-04-14,42,30,36,0.13
2022-04-15,48,30,39,0.22
2022-04-16,38,31,34.5,0.24
2022-04-17,54,34,44,T
2022-04-18,55,39,47,0.22
2022-04-19,55,37,46,0.04
2022-04-20,61,35,48,0.16
2022-04-21,58,41,49.5,0.06
2022-04-22,61,36,48.5,T
2022-04-23,61,43,52,0
2022-04-24,69,39,54,0
2022-04-25,64,45,54.5,0.11
2022-04-26,59,43,51,0.01
2022-04-27,55,41,48,T
2022-04-28,57,39,48,0.01
2022-04-29,61,42,51.5,0.01
2022-04-30,59,46,52.5,0.71
