Day,Max_Temp,Min_Temp,Avg_Temp,Precipitation
2022-08-01,94,72,83,T
2022-08-02,95,72,83.5,0
2022-08-03,96,68,82,0
2022-08-04,84,61,72.5,0
2022-08-05,84,54,69,0
2022-08-06,89,55,72,0
2022-08-07,96,58,77,0
2022-08-08,104,66,85,0
2022-08-09,100,71,85.5,0.13
2022-08-10,96,67,81.5,0.52
2022-08-11,90,63,76.5,0
2022-08-12,94,68,81,0
2022-08-13,84,62,73,0
2022-08-14,88,57,72.5,0
2022-08-15,94,58,76,0
2022-08-16,98,65,81.5,0
2022-08-17,105,63,84,0
2022-08-18,95,65,80,0
2022-08-19,94,77,85.5,0
2022-08-20,95,71,83,0
2022-08-21,95,69,82,0
2022-08-22,94,67,80.5,0.01
2022-08-23,94,68,81,0
2022-08-24,95,65,80,0
2022-08-25,92,64,78,0
2022-08-26,93,68,80.5,0
2022-08-27,78,59,68.5,0
2022-08-28,79,53,66,0
2022-08-29,91,55,73,0
2022-08-30,96,62,79,0
2022-08-31,96,64,80,0
