Day,Max_Temp,Min_Temp,Avg_Temp,Precipitation
2022-12-01,39,28,33.5,0.07
2022-12-02,37,16,26.5,0
2022-12-03,26,16,21,0
2022-12-04,24,19,21.5,0.16
2022-12-05,27,24,25.5,0.1
2022-12-06,41,23,32,0
2022-12-07,34,20,27,T
2022-12-08,43,18,30.5,0.13
2022-12-09,43,30,36.5,0.01
2022-12-10,52,31,41.5,0.01
2022-12-11,35,29,32,0.04
2022-12-12,38,31,34.5,0
2022-12-13,35,25,30,0
2022-12-14,32,28,30,0.09
2022-12-15,31,25,28,0
2022-12-16,28,24,26,0
2022-12-17,27,23,25,0
2022-12-18,38,23,30.5,T
2022-12-19,25,15,20,0.06
2022-12-20,24,12,18,0.01
2022-12-21,17,4,10.5,T
2022-12-22,6,-1,2.5,0
2022-12-23,14,5,9.5,0.24
2022-12-24,22,12,17,0.07
2022-12-25,23,18,20.5,T
2022-12-26,57,22,39.5,0.3
2022-12-27,57,44,50.5,0.09
2022-12-28,45,36,40.5,0
2022-12-29,49,34,41.5,T
2022-12-30,50,35,42.5,0.12
2022-12-31,48,35,41.5,0.13
