Day,Max_Temp,Min_Temp,Avg_Temp,Precipitation
2022-02-01,41,31,36,T
2022-02-02,36,22,29,0.09
2022-02-03,42,30,36,T
2022-02-04,46,25,35.5,0
2022-02-05,51,35,43,0
2022-02-06,53,29,41,0
2022-02-07,62,29,45.5,0
2022-02-08,56,34,45,0
2022-02-09,62,41,51.5,0
2022-02-10,67,39,53,0
2022-02-11,50,31,40.5,0
2022-02-12,47,27,37,0
2022-02-13,50,26,38,0
2022-02-14,50,34,42,0.11
2022-02-15,50,37,43.5,0.02
2022-02-16,53,33,43,T
2022-02-17,52,34,43,0
2022-02-18,59,36,47.5,0
2022-02-19,56,42,49,0
2022-02-20,49,35,42,0.02
2022-02-21,41,25,33,T
2022-02-22,25,10,17.5,0.02
2022-02-23,23,9,16,0
2022-02-24,23,12,17.5,0.03
2022-02-25,35,10,22.5,0
2022-02-26,42,17,29.5,0
2022-02-27,55,29,42,0.08
2022-02-28,62,52,57,0.33
