Day,Max_Temp,Min_Temp,Avg_Temp,Precipitation
2022-01-01,19,-3,8,0
2022-01-02,44,6,25,0
2022-01-03,46,32,39,0.41
2022-01-04,39,30,34.5,0.09
2022-01-05,35,26,30.5,0.18
2022-01-06,46,24,35,0.27
2022-01-07,49,35,42,0.29
2022-01-08,44,31,37.5,0
2022-01-09,37,25,31,0
2022-01-10,37,22,29.5,0
2022-01-11,56,27,41.5,T
2022-01-12,63,32,47.5,0.02
2022-01-13,44,30,37,0
2022-01-14,38,30,34,0
2022-01-15,32,29,30.5,0
2022-01-16,30,28,29,0
2022-01-17,36,28,32,0
2022-01-18,46,28,37,T
2022-01-19,35,30,32.5,0
2022-01-20,55,32,43.5,0.28
2022-01-21,47,35,41,0
2022-01-22,38,28,33,0
2022-01-23,30,28,29,0
2022-01-24,30,27,28.5,0
2022-01-25,31,29,30,0
2022-01-26,31,29,30,T
2022-01-27,30,29,29.5,T
2022-01-28,31,24,27.5,0
2022-01-29,31,26,28.5,0
2022-01-30,43,27,35,0.09
2022-01-31,44,33,38.5,0
