Day,Max_Temp,Min_Temp,Avg_Temp,Precipitation
2022-07-01,86,60,73,0
2022-07-02,88,62,75,0.07
2022-07-03,79,58,68.5,0.05
2022-07-04,77,58,67.5,0.12
2022-07-05,85,55,70,T
2022-07-06,83,63,73,0
2022-07-07,81,64,72.5,0
2022-07-08,85,63,74,0
2022-07-09,86,63,74.5,0
2022-07-10,84,62,73,0
2022-07-11,92,58,75,0
2022-07-12,98,60,79,T
2022-07-13,92,63,77.5,0
2022-07-14,92,59,75.5,0
2022-07-15,92,67,79.5,0
2022-07-16,90,65,77.5,0
2022-07-17,85,62,73.5,0
2022-07-18,81,58,69.5,0
2022-07-19,93,56,74.5,0
2022-07-20,97,63,80,T
2022-07-21,97,65,81,0
2022-07-22,89,69,79,0
2022-07-23,89,62,75.5,0
2022-07-24,95,59,77,0
2022-07-25,99,65,82,0
2022-07-26,102,67,84.5,0
2022-07-27,103,71,87,0
2022-07-28,104,73,88.5,0
2022-07-29,108,73,90.5,0
2022-07-30,107,73,90,0
2022-07-31,101,73,87,0
