Day,Max_Temp,Min_Temp,Avg_Temp,Precipitation
2022-03-01,65,47,56,0.14
2022-03-02,53,47,50,0.14
2022-03-03,48,38,43,0.5
2022-03-04,50,32,41,0
2022-03-05,48,30,39,0
2022-03-06,50,31,40.5,0
2022-03-07,58,34,46,0
2022-03-08,44,32,38,0.13
2022-03-09,40,25,32.5,T
2022-03-10,44,21,32.5,0
2022-03-11,58,34,46,T
2022-03-12,69,40,54.5,T
2022-03-13,51,40,45.5,0.23
2022-03-14,59,41,50,0.29
2022-03-15,58,42,50,0.15
2022-03-16,54,39,46.5,T
2022-03-17,57,33,45,0.03
2022-03-18,58,43,50.5,0
2022-03-19,53,38,45.5,T
2022-03-20,51,33,42,0
2022-03-21,52,40,46,0.06
2022-03-22,64,47,55.5,T
2022-03-23,65,42,53.5,T
2022-03-24,61,38,49.5,0
2022-03-25,60,42,51,0
2022-03-26,67,42,54.5,0
2022-03-27,63,45,54,0
2022-03-28,66,48,57,0.02
2022-03-29,63,48,55.5,0
2022-03-30,57,44,50.5,0
2022-03-31,54,38,46,0
