Day,Max_Temp,Min_Temp,Avg_Temp,Precipitation
2022-05-01,59,45,52,0.05
2022-05-02,52,43,47.5,0.18
2022-05-03,64,45,54.5,0
2022-05-04,76,45,60.5,0
2022-05-05,62,52,57,0.35
2022-05-06,61,48,54.5,0.7
2022-05-07,57,41,49,0.13
2022-05-08,55,40,47.5,0.01
2022-05-09,57,40,48.5,0
2022-05-10,59,37,48,0
2022-05-11,62,40,51,0
2022-05-12,62,41,51.5,0.48
2022-05-13,58,37,47.5,0.01
2022-05-14,68,46,57,0.52
2022-05-15,77,50,63.5,0.08
2022-05-16,68,49,58.5,0
2022-05-17,66,44,55,0
2022-05-18,63,46,54.5,0.15
2022-05-19,58,42,50,T
2022-05-20,63,41,52,0
2022-05-21,66,43,54.5,T
2022-05-22,67,41,54,0
2022-05-23,70,48,59,0.23
2022-05-24,69,45,57,T
2022-05-25,75,57,66,0
2022-05-26,78,54,66,0.07
2022-05-27,67,52,59.5,0.06
2022-05-28,66,49,57.5,0.08
2022-05-29,53,47,50,0.49
2022-05-30,54,46,50,0.07
2022-05-31,71,43,57,0
