Day,Max_Temp,Min_Temp,Avg_Temp,Precipitation
2022-11-01,48,36,42,1.08
2022-11-02,47,36,41.5,0.01
2022-11-03,45,33,39,0.15
2022-11-04,58,39,48.5,0.89
2022-11-05,60,38,49,0.01
2022-11-06,56,39,47.5,0.14
2022-11-07,50,38,44,0.07
2022-11-08,43,29,36,T
2022-11-09,40,27,33.5,0
2022-11-10,43,28,35.5,0
2022-11-11,31,23,27,0
2022-11-12,34,26,30,0
2022-11-13,40,24,32,0
2022-11-14,31,29,30,0
2022-11-15,30,24,27,0
2022-11-16,28,27,27.5,0
2022-11-17,31,28,29.5,T
2022-11-18,32,20,26,0
2022-11-19,24,19,21.5,0
2022-11-20,23,20,21.5,0
2022-11-21,27,22,24.5,0
2022-11-22,47,24,35.5,0.11
2022-11-23,50,32,41,0
2022-11-24,33,29,31,0
2022-11-25,46,29,37.5,0.17
2022-11-26,45,34,39.5,T
2022-11-27,48,34,41,0.03
2022-11-28,36,25,30.5,0.03
2022-11-29,40,20,30,0.01
2022-11-30,47,37,42,0.48
