Day,Max_Temp,Min_Temp,Avg_Temp,Precipitation
2022-10-01,73,47,60,0
2022-10-02,79,53,66,0
2022-10-03,82,53,67.5,0
2022-10-04,82,55,68.5,0
2022-10-05,80,53,66.5,0
2022-10-06,79,52,65.5,0
2022-10-07,74,52,63,0
2022-10-08,76,51,63.5,0
2022-10-09,76,51,63.5,0
2022-10-10,80,53,66.5,0
2022-10-11,72,55,63.5,0
2022-10-12,75,49,62,0
2022-10-13,73,47,60,0
2022-10-14,74,46,60,0
2022-10-15,70,47,58.5,0
2022-10-16,73,44,58.5,0
2022-10-17,70,44,57,0
2022-10-18,71,45,58,0
2022-10-19,72,45,58.5,0
2022-10-20,74,46,60,0
2022-10-21,58,46,52,0.57
2022-10-22,50,42,46,0.85
2022-10-23,53,41,47,0
2022-10-24,52,44,48,0.18
2022-10-25,55,43,49,0.01
2022-10-26,54,42,48,0.01
2022-10-27,61,40,50.5,0
2022-10-28,62,48,55,0
2022-10-29,63,47,55,0
2022-10-30,62,47,54.5,0
2022-10-31,56,48,52,0.23
