Day,Max_Temp,Min_Temp,Avg_Temp,Precipitation
2022-09-01,96,69,82.5,0
2022-09-02,103,62,82.5,0
2022-09-03,86,66,76,T
2022-09-04,88,57,72.5,0
2022-09-05,84,59,71.5,0
2022-09-06,86,56,71,0
2022-09-07,89,62,75.5,0
2022-09-08,77,55,66,0
2022-09-09,81,51,66,0
2022-09-10,87,50,68.5,0
2022-09-11,82,56,69,0
2022-09-12,79,58,68.5,0
2022-09-13,74,54,64,T
2022-09-14,76,56,66,0.05
2022-09-15,75,56,65.5,0
2022-09-16,73,55,64,0
2022-09-17,76,46,61,T
2022-09-18,66,53,59.5,0.01
2022-09-19,78,49,63.5,0
2022-09-20,78,50,64,0
2022-09-21,67,52,59.5,T
2022-09-22,75,60,67.5,T
2022-09-23,78,53,65.5,0
2022-09-24,81,51,66,0
2022-09-25,82,50,66,0
2022-09-26,81,53,67,0
2022-09-27,88,56,72,0
2022-09-28,81,57,69,T
2022-09-29,73,57,65,0.11
2022-09-30,72,53,62.5,0.01
