,State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Date Local,Time Local,Date GMT,Time GMT,Sample Measurement,Units of Measure,MDL,Uncertainty,Qualifier,Method Type,Method Code,Method Name,State Name,County Name,Date of Last Change
3103372,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-01,00:00,2022-01-01,08:00,3.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103373,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-01,01:00,2022-01-01,09:00,3.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103374,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-01,02:00,2022-01-01,10:00,3.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103375,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-01,03:00,2022-01-01,11:00,3.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103376,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-01,04:00,2022-01-01,12:00,3.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103377,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-01,05:00,2022-01-01,13:00,1.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103378,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-01,06:00,2022-01-01,14:00,3.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103379,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-01,07:00,2022-01-01,15:00,5.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103380,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-01,08:00,2022-01-01,16:00,6.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103381,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-01,09:00,2022-01-01,17:00,9.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103382,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-01,10:00,2022-01-01,18:00,11.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103383,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-01,11:00,2022-01-01,19:00,13.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103384,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-01,12:00,2022-01-01,20:00,16.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103385,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-01,13:00,2022-01-01,21:00,16.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
